TIMESTAMP (HH:MM:SS),Presence time (Seconds),Scrolling (Pixels),Title,Number of Clicks,Pragraph
13:5832,0.0,0.0,About Me,1,"One things I dont like is sports like my brother does. I am not a big fan of sports like scoccer, or football for example. But my family does and I see why people like playing the sport and/or watching the games. But tt does not apeal to me like to other people. If my family and friends invite me to watch the games then I will watch with them but I preffer to watch something else. Same thing with video game I dont like sports games for the same reason. So this is the end of the About Me thank you for reading and have a great day."
13:5834,2.1357038021087646,0.49216730966314165,About Me,2,"One things I dont like is sports like my brother does. I am not a big fan of sports like scoccer, or football for example. But my family does and I see why people like playing the sport and/or watching the games. But tt does not apeal to me like to other people. If my family and friends invite me to watch the games then I will watch with them but I preffer to watch something else. Same thing with video game I dont like sports games for the same reason. So this is the end of the About Me thank you for reading and have a great day."
